Year,Global_Avg,USA,UK,Germany,Japan,Australia,Singapore,South_Korea,India,China,Pakistan,South_Africa,Colombia
1970,7.02,10.22,1.54,1.32,0.78,1.03,0.79,1.08,4.19,0.98,5.29,30.06,25.14
1971,7.16,9.52,1.33,1.11,0.87,1.06,0.87,1.1,4.12,0.99,5.28,29.24,25.38
1972,6.84,10.34,1.51,1.27,0.75,1.05,0.79,1.01,3.81,1.02,5.11,30.23,26.09
1973,7.04,9.71,1.47,1.38,0.71,1.03,0.83,0.94,3.85,0.96,4.86,30.14,25.18
1974,7.16,9.4,1.38,1.16,0.83,0.95,0.79,0.95,3.86,0.92,5.16,29.28,24.79
1975,6.9,10.07,1.34,1.44,0.72,1.1,0.79,1.1,4.04,1.05,4.54,29.57,24.74
1976,6.86,9.32,1.43,1.27,0.71,1.04,0.81,0.95,4.01,0.92,5.08,30.86,25.24
1977,7,9.28,1.59,1.22,0.74,1.02,0.7,1.07,3.8,1.04,4.77,30.47,26.62
1978,6.82,9.68,1.54,1.33,0.74,1.09,0.79,1.07,4.08,0.96,5.31,29.79,26.56
1979,6.94,9.93,1.58,1.39,0.8,1.09,0.83,0.98,4.04,0.9,4.8,30.32,25.48
1980,6.95,9.43,1.35,1.22,0.81,1.02,0.81,1.03,4.06,0.99,5.4,29.74,25.87
1981,7.05,9.76,1.58,1.14,0.88,1.04,0.9,0.93,4.15,0.93,5.12,29.25,26.8
1982,7,9.47,1.46,1.13,0.84,0.99,0.84,1.07,4.19,1.07,4.51,29.72,26.66
1983,6.74,9.37,1.32,1.18,0.7,1.06,0.74,0.97,4.17,1.04,4.53,29.33,26.54
1984,6.89,9.04,1.67,1.35,0.81,1.02,0.85,0.96,3.96,0.94,4.69,30.89,26.88
1985,6.85,8.98,1.4,1.12,0.79,0.96,0.84,0.98,3.87,0.9,4.57,30.36,26.41
1986,6.85,9.6,1.7,1.19,0.83,0.95,0.7,1.05,3.93,0.98,5.09,30.66,26.86
1987,6.98,8.92,1.62,1.17,0.89,1.04,0.74,1.09,4.09,0.95,4.71,30.04,25.75
1988,6.7,9.02,1.45,1.29,0.76,1.02,0.87,0.92,4.01,0.93,5.22,29.79,26.93
1989,6.68,8.69,1.5,1.24,0.89,1.05,0.85,1.08,3.83,1.01,5.08,30.92,26.48
1990,6.7,8.6,1.31,1.47,0.83,1.06,0.76,1.02,3.83,1,5.48,30.75,26.68
